algoritmo,caso,tamanho,tempo_medio,tempo_std,tempo_min,tempo_max
merge_sort,medio,1,0.0003700599947478619,0.0016026594264533496,3.100023604929447e-06,0.0071788000059314
merge_sort,medio,4,9.980003233067691e-06,2.661942582710164e-06,7.399998139590025e-06,1.71000137925148e-05
merge_sort,medio,16,3.819499397650361e-05,1.651677912637266e-05,2.4300010409206152e-05,8.700002217665315e-05
merge_sort,medio,64,0.000159145003999535,6.033931825026338e-05,0.000110599969048,0.0003729000454768
merge_sort,medio,256,0.00086077499727248,0.0001254338532335568,0.0005762000218965,0.0010876999585889
merge_sort,medio,1024,0.00351946000300809,0.0007142429063104239,0.0030536000267602,0.0058201999636366
merge_sort,medio,4096,0.014878470005351066,0.0008044106549200929,0.0138750000041909,0.0173580000409856
merge_sort,medio,16384,0.0752407700027106,0.01350167280769772,0.0634798000101,0.1168147000134922
merge_sort,medio,65536,0.28856470499886194,0.019114860768998574,0.2645374999847263,0.3419351000338793
merge_sort,medio,262144,1.2513086300052236,0.09608004771762597,1.1676094000576995,1.4984182000043802
merge_sort,medio,1048576,5.719273204999626,0.17523722017546475,5.539925400051288,6.282455799984746
merge_sort,melhor,1,9.645000682212413e-06,1.2037722171549817e-05,3.100023604929447e-06,5.500001134350896e-05
merge_sort,melhor,4,1.2135008000768721e-05,5.78484952401495e-06,7.299997378140688e-06,3.060000017285347e-05
merge_sort,melhor,16,3.694499901029926e-05,3.175300132064314e-05,2.139998832717538e-05,0.0001603999990038
merge_sort,melhor,64,0.00010686500754671256,2.8527814909905973e-05,9.210000280290842e-05,0.0002098000259138
merge_sort,melhor,256,0.0004896200029178901,8.979834381312258e-05,0.0004251999780535,0.0007148000295273
merge_sort,melhor,1024,0.002503500008606295,0.0004346160890578694,0.0021506000193767,0.0035536999930627
merge_sort,melhor,4096,0.01120826500409744,0.0011827371163876809,0.010369699972216,0.015454199980013
merge_sort,melhor,16384,0.06787800499587315,0.08675299740942943,0.0447874999954365,0.4357030999963172
merge_sort,melhor,65536,0.21588085499824952,0.011988005255776335,0.2003601000178605,0.2518597999587655
merge_sort,melhor,262144,0.9095524750009645,0.07673937748868799,0.8127018999657594,1.1477465000352822
merge_sort,melhor,1048576,3.8579308249987663,0.14549492524488714,3.6009324999758974,4.300291399995331
merge_sort,pior,1,0.00036140500451437783,0.0015794712841818467,3.8000289350748062e-06,0.0070718000060878
merge_sort,pior,4,1.3065003440715372e-05,5.59241042605132e-06,6.89999433234334e-06,2.500001573935151e-05
merge_sort,pior,16,2.9065003036521376e-05,1.1487400147945759e-05,2.079998375847936e-05,7.190002361312509e-05
merge_sort,pior,64,0.00012742498947770678,5.4680936304755155e-05,9.250000584870576e-05,0.0003112999838776
merge_sort,pior,256,0.0005497899983310549,0.00014676619855830028,0.0004303000168874,0.0009644999518059
merge_sort,pior,1024,0.0033058449858799147,0.0034595081983476465,0.0021715000038966,0.0179421999491751
merge_sort,pior,4096,0.011021680000703724,0.0005949783390190722,0.0103172999806702,0.0124883000389672
merge_sort,pior,16384,0.058355675000348085,0.010622521372386277,0.0484341999981552,0.0916778999962844
merge_sort,pior,65536,0.20827495999983509,0.010339306561868674,0.1958895999705419,0.2338523999787867
merge_sort,pior,262144,0.873340359996655,0.08659290478234574,0.8208180000074208,1.1721612999681383
merge_sort,pior,1048576,3.774273485012236,0.0868059861126555,3.601657100021839,3.95185270003276
