algoritmo,caso,tamanho,tempo_medio,tempo_std,tempo_min,tempo_max
insertion_sort,medio,1,1.6800005687396075e-05,6.186978822285687e-05,1.800013706088066e-06,0.0002795999753288
insertion_sort,medio,10,5.974998930469155e-06,1.1999323548218547e-06,3.8000289350748062e-06,9.09995287656784e-06
insertion_sort,medio,50,9.051500528583469e-05,2.591979345582758e-05,5.909998435527086e-05,0.0001283999881707
insertion_sort,medio,100,0.000361460007843515,0.00010762507467701003,0.0002200999879278,0.0005517000099644
insertion_sort,medio,500,0.01028117000532798,0.002053737676825123,0.006131500005722,0.0129025000496767
insertion_sort,medio,1000,0.04533611000806554,0.0093450645205528,0.0261084999656304,0.0584665000205859
insertion_sort,medio,5000,0.7381124299980002,0.05370265798243586,0.6476614999701269,0.8652135000447743
insertion_sort,medio,10000,3.093859339991468,0.2572518926848819,2.5920355999842286,3.5795869000139646
insertion_sort,medio,20000,11.00850031999289,0.9397293511432927,9.55956960003823,13.0315892000217
insertion_sort,medio,50000,60.62982463000517,3.2266351671352633,56.52381969999988,69.26850659999764
insertion_sort,melhor,1,0.0007032750057987862,0.0031291839766523877,1.700012944638729e-06,0.0139977000071667
insertion_sort,melhor,10,4.915005411021411e-06,4.4827459977578965e-06,2.700020559132099e-06,2.3100001271814108e-05
insertion_sort,melhor,50,1.1370007996447384e-05,8.225522118614087e-06,6.799993570894003e-06,4.1000021155923605e-05
insertion_sort,melhor,100,1.428000396117568e-05,3.682624519151038e-06,1.0899966582655908e-05,2.2799998987466097e-05
insertion_sort,melhor,500,8.230000385082128e-05,2.527034400736512e-05,5.370000144466758e-05,0.0001249000197276
insertion_sort,melhor,1000,0.000166370006627345,4.0840023531893524e-05,0.0001131999888457,0.0002330000279471
insertion_sort,melhor,5000,0.00071182500687424,0.00018496028774050882,0.0005608000210486,0.0012632000143639
insertion_sort,melhor,10000,0.001293924998026295,0.00019437936054384042,0.0011365999816916,0.0020273000118322
insertion_sort,melhor,20000,0.00274907500133845,0.0003429849398562838,0.0024286999832838,0.0037218000506982
insertion_sort,melhor,50000,0.00663827499956819,0.0004833506444690463,0.0060817999765276,0.0077165000257082
insertion_sort,pior,1,2.4204995133912198e-05,8.96441888704943e-05,1.9000144675374031e-06,0.0004048999981023
insertion_sort,pior,10,1.6454991418867143e-05,2.2401096785780827e-05,7.099995855242014e-06,0.0001092000165954
insertion_sort,pior,50,0.00014063999988134002,3.392482600644452e-05,0.0001200000406242,0.0002273999853059
insertion_sort,pior,100,0.0005295800016028201,4.3466129732056905e-05,0.0004807999939657,0.0006285999552346
insertion_sort,pior,500,0.01502312499796967,0.00353292853905411,0.0124271999811753,0.0251134000136517
insertion_sort,pior,1000,0.05126475500583179,0.00330566100956057,0.0465762999956496,0.0587693999987095
insertion_sort,pior,5000,1.1940686650021235,0.05503545061423212,1.1201266000280157,1.2977163999457844
insertion_sort,pior,10000,4.705801405000966,0.19540517460235535,4.523543199989945,5.24686329998076
insertion_sort,pior,20000,18.85100841500389,0.9484415820653833,17.875801899994258,20.75199610000709
insertion_sort,pior,50000,122.77582562499738,7.860011212973275,110.8733769999817,145.46185849996982
