algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,melhor,1024,11,0.0023419000208377,0.0,18060,9968,10480.0,0,
heap_sort,melhor,1024,12,0.0030015999800525,0.015625,18060,9968,10480.0,0,
heap_sort,melhor,1024,13,0.0024916999973356,0.0,18060,9968,10480.0,0,
heap_sort,melhor,1024,14,0.0030892000067979,0.0,18060,9968,10480.0,0,
heap_sort,melhor,1024,15,0.0024619000032544,0.0,18060,9968,10480.0,0,
heap_sort,melhor,4096,1,0.0114305999595671,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,2,0.0118331999983638,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,3,0.0132136999745853,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,4,0.0115243999753147,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,5,0.011318199976813,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,6,0.0113464000169187,0.0,88835,48360,50408.0,0,
heap_sort,melhor,4096,7,0.0121768999961204,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,8,0.0132376999827101,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,9,0.012688800052274,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,10,0.0129353000083938,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,11,0.0136128000449389,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,12,0.0112779000191949,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,13,0.0123825999908149,0.015625,88835,48360,50408.0,0,
heap_sort,melhor,4096,14,0.0115864000399596,0.0,88835,48360,50408.0,0,
heap_sort,melhor,4096,15,0.0136179000255651,0.0,88835,48360,50408.0,0,
heap_sort,melhor,16384,1,0.0547896000207401,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,2,0.0540358999860473,0.0625,421566,226058,234250.0,0,
heap_sort,melhor,16384,3,0.05217460001586,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,4,0.0530077000148594,0.03125,421566,226058,234250.0,0,
heap_sort,melhor,16384,5,0.0526357000344432,0.046875,421566,226058,234250.0,0,
