algoritmo,caso,tamanho,tempo_medio,tempo_std,tempo_min,tempo_max
selection_sort,medio,1,2.6924998383033074e-05,0.0001006564721422191,1.8999562598764896e-06,0.0004544000257737
selection_sort,medio,10,7.909999112598598e-06,5.052360041325229e-06,5.199981387704611e-06,2.800003858283162e-05
selection_sort,medio,50,9.42800019402011e-05,1.5103762197316735e-05,5.740002961829305e-05,0.0001335999695584
selection_sort,medio,100,0.0003737900027772,8.916831705826514e-05,0.0002096999669447,0.0006010000361129
selection_sort,medio,500,0.009579149994533461,0.002151343004145663,0.005773400014732,0.0133330000098794
selection_sort,medio,1000,0.034288150008069306,0.00569464922426119,0.0211409000330604,0.0450138000305742
selection_sort,medio,5000,0.6606257149978774,0.054820337469330266,0.5886329999775626,0.8328210999607109
selection_sort,medio,10000,2.4677778150100496,0.21208203269087975,2.155949599982705,2.889892500010319
selection_sort,medio,20000,9.050851319995127,0.34292058406658094,8.538500299968291,9.653579900041224
selection_sort,medio,50000,60.26570119000098,1.632006209772488,57.77780270000221,63.386928499967325
selection_sort,melhor,1,2.1089994697827785e-05,8.065608141280793e-05,1.800013706088066e-06,0.0003637000336311
selection_sort,melhor,10,4.780001472681761e-06,5.925843892810358e-07,3.999972250312567e-06,6.89999433234334e-06
selection_sort,melhor,50,6.958500598556857e-05,2.6748996460103343e-05,4.640000406652689e-05,0.0001295999973081
selection_sort,melhor,100,0.00026466499839438004,0.00012567293592783796,0.0001745999907143,0.0006051000091247
selection_sort,melhor,500,0.00847417000040873,0.001325805812167927,0.0053528000134974,0.009786200011149
selection_sort,melhor,1000,0.029675750009482672,0.005187795773286748,0.0202422000002115,0.037008200015407
selection_sort,melhor,5000,0.6130571299989243,0.06264048729595868,0.5214044000022113,0.7495593000203371
selection_sort,melhor,10000,2.3468361700040985,0.18734113319108509,2.053864200017415,2.677208699984476
selection_sort,melhor,20000,8.683709330004058,0.23269669204665558,8.37512229999993,9.176416200003588
selection_sort,melhor,50000,56.86230056500354,3.4158230406124157,52.85937650001142,66.22773609997239
selection_sort,pior,1,1.896998728624979e-05,7.297669854029699e-05,1.6999547369778156e-06,0.0003290000022388
selection_sort,pior,10,8.025008719414473e-06,4.1663847449962846e-06,5.099980626255274e-06,1.8799968529492617e-05
selection_sort,pior,50,8.240499591919486e-05,3.869696430463521e-05,5.830003647133708e-05,0.0001937999622896
selection_sort,pior,100,0.00026005500694731,6.0877768100565065e-05,0.0002178999711759,0.0004078000201843
selection_sort,pior,500,0.0094870549975894,0.001849053102869753,0.0055974000133574,0.0114639000385068
selection_sort,pior,1000,0.0348009850014932,0.00725742634288734,0.0236050999956205,0.0433693000231869
selection_sort,pior,5000,0.6873046999942745,0.0783807363672084,0.5588149999966845,0.8235327999573201
selection_sort,pior,10000,2.7225828800088494,0.18924732595365176,2.419567000004463,3.0838998000253923
selection_sort,pior,20000,10.628633495004033,0.45675673539341816,9.81282370002009,11.554772900009992
selection_sort,pior,50000,64.64267079999846,5.443672501947585,55.506103400024585,73.50435599999037
